table,label,generated_count,article_count,count_match,generated_share_percent,article_share_percent,share_match
top_cited_article_audit_summary,Expanded audit records,80,80,True,100.0,100.0,True
top_cited_article_audit_summary,Assessed from full text,64,64,True,80.0,80.0,True
top_cited_article_audit_summary,Not assessed from full text,16,16,True,20.0,20.0,True
top_cited_article_audit_summary,About KNIME,6,6,True,7.5,7.5,True
top_cited_article_audit_summary,Not a KNIME use case,7,7,True,8.8,8.8,True
top_cited_article_audit_summary,Uses KNIME,51,51,True,63.7,63.7,True
top_cited_article_audit_summary,Workflow or nodes described in text,44,44,True,55.0,55.0,True
top_cited_article_audit_summary,Workflow screenshots or figures,30,30,True,37.5,37.5,True
top_cited_article_audit_summary,Reports KNIME version,15,15,True,18.8,18.8,True
top_cited_article_audit_summary,Reports downloadable workflows,22,22,True,27.5,27.5,True
top_cited_article_audit_summary,Reports extension/plugin dependencies,20,20,True,25.0,25.0,True
top_cited_article_audit_summary,Reports extension installation source,11,11,True,13.8,13.8,True
top_cited_article_audit_summary,Provides code or scripts,15,15,True,18.8,18.8,True
top_cited_article_audit_summary,Reports input-data availability,41,41,True,51.2,51.2,True
top_cited_article_audit_summary,Direct input-data resource,20,20,True,25.0,25.0,True
