label,count,share_percent,interpretation
Audit records,100,100.0,Most-cited KNIME-matching article records selected from OpenAlex
Assessed from full text,82,82.0,Article text available for manual assessment
Not assessed from full text,18,18.0,Full text unavailable at assessment time
About KNIME,8,8.0,"Background/platform or extension papers, not deeper workflow-reporting cases"
Not a KNIME use case,7,7.0,KNIME appears in the record but is not a KNIME-based study
Uses KNIME,67,67.0,"KNIME used as a workflow, tool, interface, or implementation context"
Workflow or nodes described in text,59,59.0,"Named workflow steps, nodes, modules, or components recorded"
Workflow screenshots or figures,37,37.0,Workflow shown visually in article or supplement
Reports KNIME version,18,18.0,Specific KNIME version value found
Reports downloadable workflows,28,28.0,Executable workflow files provided or linked
Reports extension/plugin dependencies,30,30.0,KNIME extension or node-library dependency reported
Reports extension installation source,19,19.0,"Update site, project URL, or installation source reported"
Provides code or scripts,17,17.0,"Code repository, scripts, or software code reported"
Reports input-data availability,55,55.0,"Data availability stated, with or without direct URL"
Direct input-data resource,23,23.0,Direct data URL or resource pointer recorded
