table,label,generated_count,article_count,count_match,generated_share_percent,article_share_percent,share_match
top_cited_article_audit_summary,Audit records,100,100,True,100.0,100.0,True
top_cited_article_audit_summary,Records with local PDF,79,79,True,79.0,79.0,True
top_cited_article_audit_summary,Uses KNIME,75,75,True,75.0,75.0,True
top_cited_article_audit_summary,Workflow or nodes described in text,68,68,True,68.0,68.0,True
top_cited_article_audit_summary,Workflow screenshots or figures,49,49,True,49.0,49.0,True
top_cited_article_audit_summary,Reports KNIME version,18,18,True,18.0,18.0,True
top_cited_article_audit_summary,Reports downloadable workflows,22,22,True,22.0,22.0,True
top_cited_article_audit_summary,Reports extension/plugin dependencies,23,23,True,23.0,23.0,True
top_cited_article_audit_summary,Reports extension installation source,4,4,True,4.0,4.0,True
top_cited_article_audit_summary,Provides code or scripts,20,20,True,20.0,20.0,True
top_cited_article_audit_summary,Reports input-data availability,66,66,True,66.0,66.0,True
top_cited_article_audit_summary,Direct input-data resource,20,20,True,20.0,20.0,True
