snapshot_id,snapshot_date,repo,xml_path,factory_class_guess,name,node_type,deprecated
date-2018-04-03,2018-04-03,knime-python-legacy,knime-python-legacy/org.knime.python2.nodes/src/org/knime/python2/nodes/objectwriter/Python2ObjectWriterNodeFactory.xml,org.knime.python2.nodes.objectwriter.Python2ObjectWriterNodeFactory,Python Object Writer,Sink,False
date-2018-04-03,2018-04-03,knime-python-legacy,knime-python-legacy/org.knime.python2.nodes/src/org/knime/python2/nodes/script2in2out/Python2Script2In2OutNodeFactory.xml,org.knime.python2.nodes.script2in2out.Python2Script2In2OutNodeFactory,Python Script (2⇒2),Manipulator,False
date-2018-04-03,2018-04-03,knime-python-legacy,knime-python-legacy/org.knime.python2.nodes/src/org/knime/python2/nodes/source/Python2SourceNodeFactory.xml,org.knime.python2.nodes.source.Python2SourceNodeFactory,Python Source,Source,False
date-2018-04-03,2018-04-03,knime-python-legacy,knime-python-legacy/org.knime.python2.nodes/src/org/knime/python2/nodes/script1in2out/Python2Script1In2OutNodeFactory.xml,org.knime.python2.nodes.script1in2out.Python2Script1In2OutNodeFactory,Python Script (1⇒2),Manipulator,False
date-2018-04-03,2018-04-03,knime-python-legacy,knime-python-legacy/org.knime.python2.nodes/src/org/knime/python2/nodes/script/Python2ScriptNodeFactory.xml,org.knime.python2.nodes.script.Python2ScriptNodeFactory,Python Script (1⇒1),Manipulator,False
date-2018-04-03,2018-04-03,knime-python-legacy,knime-python-legacy/org.knime.python2.nodes/src/org/knime/python2/nodes/learner/Python2LearnerNodeFactory.xml,org.knime.python2.nodes.learner.Python2LearnerNodeFactory,Python Learner,Learner,False
date-2018-04-03,2018-04-03,knime-python-legacy,knime-python-legacy/org.knime.python2.nodes/src/org/knime/python2/nodes/variables/Python2VariablesNodeFactory.xml,org.knime.python2.nodes.variables.Python2VariablesNodeFactory,Python Edit Variable,Manipulator,False
date-2018-04-03,2018-04-03,knime-python-legacy,knime-python-legacy/org.knime.python2.nodes/src/org/knime/python2/nodes/view/Python2ViewNodeFactory.xml,org.knime.python2.nodes.view.Python2ViewNodeFactory,Python View,Visualizer,False
date-2018-04-03,2018-04-03,knime-python-legacy,knime-python-legacy/org.knime.python2.nodes/src/org/knime/python2/nodes/objectreader/Python2ObjectReaderNodeFactory.xml,org.knime.python2.nodes.objectreader.Python2ObjectReaderNodeFactory,Python Object Reader,Source,False
date-2018-04-03,2018-04-03,knime-python-legacy,knime-python-legacy/org.knime.python2.nodes/src/org/knime/python2/nodes/db/Python2ScriptDBNodeFactory.xml,org.knime.python2.nodes.db.Python2ScriptDBNodeFactory,Python Script (DB),Manipulator,False
date-2018-04-03,2018-04-03,knime-python-legacy,knime-python-legacy/org.knime.python2.nodes/src/org/knime/python2/nodes/script2in1out/Python2Script2In1OutNodeFactory.xml,org.knime.python2.nodes.script2in1out.Python2Script2In1OutNodeFactory,Python Script (2⇒1),Manipulator,False
date-2018-04-03,2018-04-03,knime-python-legacy,knime-python-legacy/org.knime.python2.nodes/src/org/knime/python2/nodes/predictor/Python2PredictorNodeFactory.xml,org.knime.python2.nodes.predictor.Python2PredictorNodeFactory,Python Predictor,Predictor,False
date-2018-04-03,2018-04-03,knime-python-legacy,knime-python-legacy/org.knime.ext.jython/src/org/knime/ext/jython/PythonFunctionNodeFactory.xml,org.knime.ext.jython.PythonFunctionNodeFactory,JPython Function,Learner,False
date-2018-04-03,2018-04-03,knime-python-legacy,knime-python-legacy/org.knime.ext.jython/src/org/knime/ext/jython/PythonScript21NodeFactory.xml,org.knime.ext.jython.PythonScript21NodeFactory,JPython Script 2:1,Learner,False
date-2018-04-03,2018-04-03,knime-python-legacy,knime-python-legacy/org.knime.ext.jython/src/org/knime/ext/jython/PythonScript11NodeFactory.xml,org.knime.ext.jython.PythonScript11NodeFactory,JPython Script 1:1,Learner,False
date-2018-04-03,2018-04-03,knime-python-legacy,knime-python-legacy/org.knime.python.nodes/src/org/knime/python/nodes/objectwriter/PythonObjectWriterNodeFactory.xml,org.knime.python.nodes.objectwriter.PythonObjectWriterNodeFactory,Python Object Writer,Sink,False
date-2018-04-03,2018-04-03,knime-python-legacy,knime-python-legacy/org.knime.python.nodes/src/org/knime/python/nodes/script2in2out/PythonScript2In2OutNodeFactory.xml,org.knime.python.nodes.script2in2out.PythonScript2In2OutNodeFactory,Python Script (2⇒2),Manipulator,False
date-2018-04-03,2018-04-03,knime-python-legacy,knime-python-legacy/org.knime.python.nodes/src/org/knime/python/nodes/source/PythonSourceNodeFactory.xml,org.knime.python.nodes.source.PythonSourceNodeFactory,Python Source,Source,False
date-2018-04-03,2018-04-03,knime-python-legacy,knime-python-legacy/org.knime.python.nodes/src/org/knime/python/nodes/script1in2out/PythonScript1In2OutNodeFactory.xml,org.knime.python.nodes.script1in2out.PythonScript1In2OutNodeFactory,Python Script (1⇒2),Manipulator,False
date-2018-04-03,2018-04-03,knime-python-legacy,knime-python-legacy/org.knime.python.nodes/src/org/knime/python/nodes/script/PythonScriptNodeFactory.xml,org.knime.python.nodes.script.PythonScriptNodeFactory,Python Script (1⇒1),Manipulator,False
date-2018-04-03,2018-04-03,knime-python-legacy,knime-python-legacy/org.knime.python.nodes/src/org/knime/python/nodes/learner/PythonLearnerNodeFactory.xml,org.knime.python.nodes.learner.PythonLearnerNodeFactory,Python Learner,Learner,False
date-2018-04-03,2018-04-03,knime-python-legacy,knime-python-legacy/org.knime.python.nodes/src/org/knime/python/nodes/variables/PythonVariablesNodeFactory.xml,org.knime.python.nodes.variables.PythonVariablesNodeFactory,Python Edit Variable,Manipulator,False
date-2018-04-03,2018-04-03,knime-python-legacy,knime-python-legacy/org.knime.python.nodes/src/org/knime/python/nodes/view/PythonViewNodeFactory.xml,org.knime.python.nodes.view.PythonViewNodeFactory,Python View,Visualizer,False
date-2018-04-03,2018-04-03,knime-python-legacy,knime-python-legacy/org.knime.python.nodes/src/org/knime/python/nodes/objectreader/PythonObjectReaderNodeFactory.xml,org.knime.python.nodes.objectreader.PythonObjectReaderNodeFactory,Python Object Reader,Source,False
date-2018-04-03,2018-04-03,knime-python-legacy,knime-python-legacy/org.knime.python.nodes/src/org/knime/python/nodes/db/PythonScriptDBNodeFactory.xml,org.knime.python.nodes.db.PythonScriptDBNodeFactory,Python Script (DB),Manipulator,False
date-2018-04-03,2018-04-03,knime-python-legacy,knime-python-legacy/org.knime.python.nodes/src/org/knime/python/nodes/script2in1out/PythonScript2In1OutNodeFactory.xml,org.knime.python.nodes.script2in1out.PythonScript2In1OutNodeFactory,Python Script (2⇒1),Manipulator,False
date-2018-04-03,2018-04-03,knime-python-legacy,knime-python-legacy/org.knime.python.nodes/src/org/knime/python/nodes/predictor/PythonPredictorNodeFactory.xml,org.knime.python.nodes.predictor.PythonPredictorNodeFactory,Python Predictor,Predictor,False
date-2018-04-03,2018-04-03,knime-textprocessing,knime-textprocessing/org.knime.ext.textprocessing/src-deprecated/org/knime/ext/textprocessing/nodes/source/rssfeedreader/RSSFeedReaderNodeFactory.xml,org.knime.ext.textprocessing.nodes.source.rssfeedreader.RSSFeedReaderNodeFactory,RSS Feed Reader,Other,False
date-2018-04-03,2018-04-03,knime-textprocessing,knime-textprocessing/org.knime.ext.textprocessing/src-deprecated/org/knime/ext/textprocessing/nodes/transformation/documentvector/DocumentVectorNodeFactory.xml,org.knime.ext.textprocessing.nodes.transformation.documentvector.DocumentVectorNodeFactory,Document vector,Manipulator,False
date-2018-04-03,2018-04-03,knime-textprocessing,knime-textprocessing/org.knime.ext.textprocessing/src-deprecated/org/knime/ext/textprocessing/nodes/transformation/bow/BagOfWordsNodeFactory.xml,org.knime.ext.textprocessing.nodes.transformation.bow.BagOfWordsNodeFactory,Bag of Words Creator,Manipulator,False
date-2018-04-03,2018-04-03,knime-textprocessing,knime-textprocessing/org.knime.ext.textprocessing/src-deprecated/org/knime/ext/textprocessing/nodes/transformation/documenttostring/DocumentDataExtractorNodeFactory.xml,org.knime.ext.textprocessing.nodes.transformation.documenttostring.DocumentDataExtractorNodeFactory,Document Data Extractor,Manipulator,False
date-2018-04-03,2018-04-03,knime-textprocessing,knime-textprocessing/org.knime.ext.textprocessing/src-deprecated/org/knime/ext/textprocessing/nodes/transformation/documentvectorhashing/DocumentHashingNodeFactory.xml,org.knime.ext.textprocessing.nodes.transformation.documentvectorhashing.DocumentHashingNodeFactory,Document vector hashing,Manipulator,False
date-2018-04-03,2018-04-03,knime-textprocessing,knime-textprocessing/org.knime.ext.textprocessing/src-deprecated/org/knime/ext/textprocessing/nodes/transformation/documentvectoradapter/DocumentVectorAdapterNodeFactory.xml,org.knime.ext.textprocessing.nodes.transformation.documentvectoradapter.DocumentVectorAdapterNodeFactory,Document Vector Adapter,Manipulator,False
date-2018-04-03,2018-04-03,knime-textprocessing,knime-textprocessing/org.knime.ext.textprocessing/src-deprecated/org/knime/ext/textprocessing/nodes/transformation/stringstodocument/StringsToDocumentNodeFactory.xml,org.knime.ext.textprocessing.nodes.transformation.stringstodocument.StringsToDocumentNodeFactory,Strings To Document,Manipulator,False
date-2018-04-03,2018-04-03,knime-textprocessing,knime-textprocessing/org.knime.ext.textprocessing/src-deprecated/org/knime/ext/textprocessing/nodes/tagging/stanfordnlpnetagger/StanfordNlpNeTaggerNodeFactory.xml,org.knime.ext.textprocessing.nodes.tagging.stanfordnlpnetagger.StanfordNlpNeTaggerNodeFactory,StanfordNLP NE tagger,Predictor,False
date-2018-04-03,2018-04-03,knime-textprocessing,knime-textprocessing/org.knime.ext.textprocessing/src-deprecated/org/knime/ext/textprocessing/nodes/tagging/oscar/OscarTaggerNodeFactory.xml,org.knime.ext.textprocessing.nodes.tagging.oscar.OscarTaggerNodeFactory,Oscar tagger,Manipulator,False
date-2018-04-03,2018-04-03,knime-textprocessing,knime-textprocessing/org.knime.ext.textprocessing/src-deprecated/org/knime/ext/textprocessing/nodes/tagging/opennlpner/OpennlpNerTaggerNodeFactory.xml,org.knime.ext.textprocessing.nodes.tagging.opennlpner.OpennlpNerTaggerNodeFactory,OpenNLP NE tagger,Manipulator,False
date-2018-04-03,2018-04-03,knime-textprocessing,knime-textprocessing/org.knime.ext.textprocessing/src-deprecated/org/knime/ext/textprocessing/nodes/tagging/stanford/StanfordTaggerNodeFactory.xml,org.knime.ext.textprocessing.nodes.tagging.stanford.StanfordTaggerNodeFactory,Stanford tagger,Manipulator,False
date-2018-04-03,2018-04-03,knime-textprocessing,knime-textprocessing/org.knime.ext.textprocessing/src-deprecated/org/knime/ext/textprocessing/nodes/tagging/abner/AbnerTaggerNodeFactory.xml,org.knime.ext.textprocessing.nodes.tagging.abner.AbnerTaggerNodeFactory,Abner tagger,Manipulator,False
date-2018-04-03,2018-04-03,knime-textprocessing,knime-textprocessing/org.knime.ext.textprocessing/src-deprecated/org/knime/ext/textprocessing/nodes/tagging/pos/PosTaggerNodeFactory.xml,org.knime.ext.textprocessing.nodes.tagging.pos.PosTaggerNodeFactory,POS tagger,Manipulator,False
date-2018-04-03,2018-04-03,knime-textprocessing,knime-textprocessing/org.knime.ext.textprocessing/src-deprecated/org/knime/ext/textprocessing/nodes/tagging/dict/DictionaryTaggerNodeFactory.xml,org.knime.ext.textprocessing.nodes.tagging.dict.DictionaryTaggerNodeFactory,Dictionary tagger,Manipulator,True
date-2018-04-03,2018-04-03,knime-textprocessing,knime-textprocessing/org.knime.ext.textprocessing/src-deprecated/org/knime/ext/textprocessing/nodes/tagging/dict/wildcard/WildcardTaggerNodeFactory.xml,org.knime.ext.textprocessing.nodes.tagging.dict.wildcard.WildcardTaggerNodeFactory,Wildcard tagger,Manipulator,False
date-2018-04-03,2018-04-03,knime-textprocessing,knime-textprocessing/org.knime.ext.textprocessing/src-deprecated/org/knime/ext/textprocessing/nodes/tagging/dict/inport/DictionaryTaggerNodeFactory.xml,org.knime.ext.textprocessing.nodes.tagging.dict.inport.DictionaryTaggerNodeFactory,Dictionary tagger,Manipulator,False
date-2018-04-03,2018-04-03,knime-textprocessing,knime-textprocessing/org.knime.ext.textprocessing/src-deprecated/org/knime/ext/textprocessing/nodes/preprocessing/stopwordfilter/StopwordFilterNodeFactory.xml,org.knime.ext.textprocessing.nodes.preprocessing.stopwordfilter.StopwordFilterNodeFactory,Stop word Filter,Manipulator,False
date-2018-04-03,2018-04-03,knime-textprocessing,knime-textprocessing/org.knime.ext.textprocessing/src-deprecated/org/knime/ext/textprocessing/nodes/preprocessing/caseconverter/CaseConverterNodeFactory.xml,org.knime.ext.textprocessing.nodes.preprocessing.caseconverter.CaseConverterNodeFactory,Case converter,Manipulator,False
date-2018-04-03,2018-04-03,knime-textprocessing,knime-textprocessing/org.knime.ext.textprocessing/src-deprecated/org/knime/ext/textprocessing/nodes/preprocessing/regexfilter/RegExFilterNodeFactory.xml,org.knime.ext.textprocessing.nodes.preprocessing.regexfilter.RegExFilterNodeFactory,RegEx Filter,Manipulator,False
date-2018-04-03,2018-04-03,knime-textprocessing,knime-textprocessing/org.knime.ext.textprocessing/src-deprecated/org/knime/ext/textprocessing/nodes/preprocessing/nefilter/NamedEntityFilterNodeFactory.xml,org.knime.ext.textprocessing.nodes.preprocessing.nefilter.NamedEntityFilterNodeFactory,Modifiable Term Filter,Manipulator,False
