snapshot_id,snapshot_date,repo,plugin_xml,class_mapper
date-2022-01-01,2022-01-01,knime-filehandling,knime-filehandling/org.knime.base.filehandling/plugin.xml,org.knime.base.filehandling.FileHandlingNodeFactoryClassMapper
date-2022-01-01,2022-01-01,knime-productivity-oss,knime-productivity-oss/org.knime.explorer.nodes/plugin.xml,org.knime.explorer.nodes.ExplorerNodeFactoryClassMapper
date-2022-01-01,2022-01-01,knime-conda,knime-conda/org.knime.conda/plugin.xml,org.knime.conda.nodes.envprop.CondaEnvironmentPropagationNodeClassMapper
date-2022-01-01,2022-01-01,knime-reporting2,knime-reporting2/org.knime.reporting2/plugin.xml,org.knime.reporting2.ReportingNodeFactoryClassMapper
date-2022-01-01,2022-01-01,knime-activelearning,knime-activelearning/org.knime.activelearning/plugin.xml,org.knime.al.nodes.score.combine.pbac.UncertaintyDistributionScorerNodeFactoryMapper
date-2022-01-01,2022-01-01,knime-js-base,knime-js-base/org.knime.js.quickforms/plugin.xml,org.knime.js.base.node.quickform.filter.definition.rangeslider.RangeSliderFilterClassMapper
date-2022-01-01,2022-01-01,knime-js-base,knime-js-base/org.knime.js.views/plugin.xml,org.knime.js.base.node.viz.tileView.TileViewClassMapper
date-2022-01-01,2022-01-01,knime-bigdata,knime-bigdata/org.knime.bigdata.commons/plugin.xml,org.knime.bigdata.commons.BigDataNodeFactoryClassMapper
date-2022-01-01,2022-01-01,knime-base,knime-base/org.knime.filehandling.utility.nodes/plugin.xml,org.knime.filehandling.utility.nodes.UtilityNodeFactoryClassMapper
date-2022-01-01,2022-01-01,knime-base,knime-base/org.knime.base/plugin.xml,org.knime.base.node.preproc.valcount.ValueCounterNodeFactoryClassMapper
date-2022-01-01,2022-01-01,knime-database,knime-database/org.knime.database.nodes/plugin.xml,org.knime.database.node.factory.mapper.DatabaseNodeFactoryClassMapper
date-2022-01-01,2022-01-01,knime-database,knime-database/org.knime.database.extensions/plugin.xml,org.knime.database.extension.DatabaseConnectorNodeFactoryClassMapper
date-2022-01-01,2022-01-01,knime-database,knime-database/org.knime.database.extensions.oracle/plugin.xml,org.knime.database.extension.oracle.OracleConnectorNodeFactoryClassMapper
date-2022-01-01,2022-01-01,knime-ensembles,knime-ensembles/org.knime.base.treeensembles2/plugin.xml,org.knime.base.node.mine.treeensemble2.node.DeprecatedNodeFactoryClassMapper
date-2022-01-01,2022-01-01,knime-ensembles,knime-ensembles/org.knime.base.treeensembles/plugin.xml,org.knime.base.node.mine.treeensemble.node.DeprecatedNodeFactoryClassMapper
