snapshot_id,snapshot_date,repo,plugin_xml,extension_point,element,factory_class,category_path,deprecated,hidden
date-2022-01-01,2022-01-01,knime-python-legacy,knime-python-legacy/org.knime.python2.nodes/plugin.xml,org.knime.workbench.repository.nodes,node,org.knime.python2.nodes.variables.Python2VariablesNodeFactory,/scripting/python,False,False
date-2022-01-01,2022-01-01,knime-python-legacy,knime-python-legacy/org.knime.python2.nodes/plugin.xml,org.knime.workbench.repository.nodes,node,org.knime.python2.nodes.source.Python2SourceNodeFactory,/scripting/python,False,False
date-2022-01-01,2022-01-01,knime-python-legacy,knime-python-legacy/org.knime.python2.nodes/plugin.xml,org.knime.workbench.repository.nodes,node,org.knime.python2.nodes.script2.Python2ScriptNodeFactory2,/scripting/python,False,False
date-2022-01-01,2022-01-01,knime-python-legacy,knime-python-legacy/org.knime.python2.nodes/plugin.xml,org.knime.workbench.repository.nodes,node,org.knime.python2.nodes.view.Python2ViewNodeFactory,/scripting/python,False,False
date-2022-01-01,2022-01-01,knime-python-legacy,knime-python-legacy/org.knime.python2.nodes/plugin.xml,org.knime.workbench.repository.nodes,node,org.knime.python2.nodes.objectreader2.Python2ObjectReaderNodeFactory2,/scripting/python,False,False
date-2022-01-01,2022-01-01,knime-python-legacy,knime-python-legacy/org.knime.python2.nodes/plugin.xml,org.knime.workbench.repository.nodes,node,org.knime.python2.nodes.objectwriter2.Python2ObjectWriterNodeFactory2,/scripting/python,False,False
date-2022-01-01,2022-01-01,knime-python-legacy,knime-python-legacy/org.knime.python2.nodes/plugin.xml,org.knime.workbench.repository.nodes,node,org.knime.python2.nodes.learner2.Python2LearnerNodeFactory2,/scripting/python,False,False
date-2022-01-01,2022-01-01,knime-python-legacy,knime-python-legacy/org.knime.python2.nodes/plugin.xml,org.knime.workbench.repository.nodes,node,org.knime.python2.nodes.predictor2.Python2PredictorNodeFactory2,/scripting/python,False,False
date-2022-01-01,2022-01-01,knime-python-legacy,knime-python-legacy/org.knime.python2.nodes/plugin.xml,org.knime.workbench.repository.nodes,node,org.knime.python2.nodes.db.Python2ScriptDBNodeFactory,/scripting/python,False,False
date-2022-01-01,2022-01-01,knime-python-legacy,knime-python-legacy/org.knime.python2.nodes/plugin.xml,org.knime.workbench.repository.nodes,node,org.knime.python2.nodes.conda.CondaEnvironmentPropagationNodeFactory,/scripting/conda,False,False
date-2022-01-01,2022-01-01,knime-python-legacy,knime-python-legacy/org.knime.python2.nodes/plugin.xml,org.knime.workbench.repository.nodes,node,org.knime.python2.nodes.script.Python2ScriptNodeFactory,/scripting/python,True,False
date-2022-01-01,2022-01-01,knime-python-legacy,knime-python-legacy/org.knime.python2.nodes/plugin.xml,org.knime.workbench.repository.nodes,node,org.knime.python2.nodes.script1in2out.Python2Script1In2OutNodeFactory,/scripting/python,True,False
date-2022-01-01,2022-01-01,knime-python-legacy,knime-python-legacy/org.knime.python2.nodes/plugin.xml,org.knime.workbench.repository.nodes,node,org.knime.python2.nodes.script2in1out.Python2Script2In1OutNodeFactory,/scripting/python,True,False
date-2022-01-01,2022-01-01,knime-python-legacy,knime-python-legacy/org.knime.python2.nodes/plugin.xml,org.knime.workbench.repository.nodes,node,org.knime.python2.nodes.script2in2out.Python2Script2In2OutNodeFactory,/scripting/python,True,False
date-2022-01-01,2022-01-01,knime-python-legacy,knime-python-legacy/org.knime.python2.nodes/plugin.xml,org.knime.workbench.repository.nodes,node,org.knime.python2.nodes.objectreader.Python2ObjectReaderNodeFactory,/scripting/python,True,False
date-2022-01-01,2022-01-01,knime-python-legacy,knime-python-legacy/org.knime.python2.nodes/plugin.xml,org.knime.workbench.repository.nodes,node,org.knime.python2.nodes.objectwriter.Python2ObjectWriterNodeFactory,/scripting/python,True,False
date-2022-01-01,2022-01-01,knime-python-legacy,knime-python-legacy/org.knime.python2.nodes/plugin.xml,org.knime.workbench.repository.nodes,node,org.knime.python2.nodes.learner.Python2LearnerNodeFactory,/scripting/python,True,False
date-2022-01-01,2022-01-01,knime-python-legacy,knime-python-legacy/org.knime.python2.nodes/plugin.xml,org.knime.workbench.repository.nodes,node,org.knime.python2.nodes.predictor.Python2PredictorNodeFactory,/scripting/python,True,False
date-2022-01-01,2022-01-01,knime-python-legacy,knime-python-legacy/org.knime.ext.jython/plugin.xml,org.knime.workbench.repository.nodes,node,org.knime.ext.jython.PythonScript11NodeFactory,/labs/jython,False,False
date-2022-01-01,2022-01-01,knime-python-legacy,knime-python-legacy/org.knime.ext.jython/plugin.xml,org.knime.workbench.repository.nodes,node,org.knime.ext.jython.PythonScript21NodeFactory,/labs/jython,False,False
date-2022-01-01,2022-01-01,knime-python-legacy,knime-python-legacy/org.knime.ext.jython/plugin.xml,org.knime.workbench.repository.nodes,node,org.knime.ext.jython.PythonFunctionNodeFactory,/labs/jython,False,False
date-2022-01-01,2022-01-01,knime-python-legacy,knime-python-legacy/org.knime.python.nodes/plugin.xml,org.knime.workbench.repository.nodes,node,org.knime.python.nodes.variables.PythonVariablesNodeFactory,/scripting,True,False
date-2022-01-01,2022-01-01,knime-python-legacy,knime-python-legacy/org.knime.python.nodes/plugin.xml,org.knime.workbench.repository.nodes,node,org.knime.python.nodes.source.PythonSourceNodeFactory,/scripting,True,False
date-2022-01-01,2022-01-01,knime-python-legacy,knime-python-legacy/org.knime.python.nodes/plugin.xml,org.knime.workbench.repository.nodes,node,org.knime.python.nodes.script.PythonScriptNodeFactory,/scripting,True,False
date-2022-01-01,2022-01-01,knime-python-legacy,knime-python-legacy/org.knime.python.nodes/plugin.xml,org.knime.workbench.repository.nodes,node,org.knime.python.nodes.script1in2out.PythonScript1In2OutNodeFactory,/scripting,True,False
date-2022-01-01,2022-01-01,knime-python-legacy,knime-python-legacy/org.knime.python.nodes/plugin.xml,org.knime.workbench.repository.nodes,node,org.knime.python.nodes.script2in1out.PythonScript2In1OutNodeFactory,/scripting,True,False
date-2022-01-01,2022-01-01,knime-python-legacy,knime-python-legacy/org.knime.python.nodes/plugin.xml,org.knime.workbench.repository.nodes,node,org.knime.python.nodes.script2in2out.PythonScript2In2OutNodeFactory,/scripting,True,False
date-2022-01-01,2022-01-01,knime-python-legacy,knime-python-legacy/org.knime.python.nodes/plugin.xml,org.knime.workbench.repository.nodes,node,org.knime.python.nodes.view.PythonViewNodeFactory,/scripting,True,False
date-2022-01-01,2022-01-01,knime-python-legacy,knime-python-legacy/org.knime.python.nodes/plugin.xml,org.knime.workbench.repository.nodes,node,org.knime.python.nodes.objectreader.PythonObjectReaderNodeFactory,/scripting,True,False
date-2022-01-01,2022-01-01,knime-python-legacy,knime-python-legacy/org.knime.python.nodes/plugin.xml,org.knime.workbench.repository.nodes,node,org.knime.python.nodes.objectwriter.PythonObjectWriterNodeFactory,/scripting,True,False
