repo,status,target_date,commit,commit_date,previous_head
"git-nodes-test","checked_out","2026-01-01","4a658f038ccaf1a4a4b2eebb36684087503b42bb","2018-02-20T16:34:53+01:00","4a658f0"
"github-pullrequest-filter-plugin","checked_out","2026-01-01","ddecda6f6ba3ef89ca2a495bc44986273ca77d1c","2025-11-21T16:29:21+01:00","ddecda6"
"incubator-livy","checked_out","2026-01-01","f20827e83fff11f438449031b9abe1ca07983ae2","2021-08-05T14:46:38Z","f20827e"
"knime-activelearning","checked_out","2026-01-01","a80d5d35b39a883d1af3d2fb08d8d6f5c295d307","2025-12-15T10:14:29+01:00","a80d5d3"
"knime-ap-batch","checked_out","2026-01-01","efc109e12ba7f09a51d151f0bcbdb10d82bf2b0f","2025-12-15T10:14:32+01:00","efc109e"
"knime-aws-services","checked_out","2026-01-01","38b8a567bb8aea588aa72b4df3ff8614afd50513","2025-12-15T10:14:48+01:00","38b8a56"
"knime-aws","checked_out","2026-01-01","1349a3a64bccf50d1d0469bc0a967ca05e20fbf4","2025-12-15T10:14:46+01:00","1349a3a"
"knime-azure","checked_out","2026-01-01","c051193ec877c2b9a2c4dc677fac8127adff9899","2025-12-15T10:14:49+01:00","c051193"
"knime-base-expressions","checked_out","2026-01-01","f1480ee9be1169602b67c8233c44c8c2d166e76b","2025-12-19T13:59:24Z","f1480ee"
"knime-base","checked_out","2026-01-01","7051d4774ad0621faf5267efb86cb580ca1a0be6","2025-12-22T11:18:03+01:00","7051d4774"
"knime-bigdata","checked_out","2026-01-01","be9dc527c59e8d4c5091b51e3134fc4bb12653b5","2025-12-15T10:23:20+01:00","be9dc527"
"knime-buildworkflows","checked_out","2026-01-01","71abb4188dd3cec3d5fb1214525912f9bad0d5fc","2025-12-15T10:15:23+01:00","71abb41"
"knime-business-hub-public","checked_out","2026-01-01","021e010e28fc26be916d8eb8b1f5a79e7900608c","2025-12-19T08:17:49+01:00","021e010"
"knime-chemistry","checked_out","2026-01-01","3c5aff15c2f9e5f0108ed8f8a42331979a6d50a0","2025-12-15T10:15:32+01:00","3c5aff1"
"knime-cloud-aws","checked_out","2026-01-01","5033cd0958a39218fa12c9689bbc1914e98668ab","2022-08-16T08:42:49+02:00","5033cd0"
"knime-cloud-azure","checked_out","2026-01-01","6c2474c888a66a706798dfcfa3ec9b10c0453c9e","2022-08-29T12:33:59+02:00","6c2474c"
"knime-cloud","checked_out","2026-01-01","6502004455ccbf2043424bce9365d0fe6874fe16","2025-12-15T10:15:45+01:00","6502004"
"knime-conda","checked_out","2026-01-01","646f928d83e138433a46358cd32febf5456cb5a4","2025-12-15T10:15:47+01:00","c30592a"
"knime-core-columnar","checked_out","2026-01-01","917a6448ec5f03bb688b357321c9a12e21ba18c0","2025-12-15T10:16:01+01:00","db16fd32"
"knime-core-table","checked_out","2026-01-01","516b12c7deef1bf8166d64aaaaee4a1cbe2c4381","2025-12-15T10:16:08+01:00","516b12c"
"knime-core-ui","checked_out","2026-01-01","bf4bea37cd6d56f228b298b46c7620a1a4682b82","2025-12-19T16:49:48+01:00","fc90cfe4"
"knime-core","checked_out","2026-01-01","58ac551dbe73db72370cc43b2139c437339ba1cd","2025-12-19T11:12:33+01:00","5487725ad"
"knime-credentials-base","checked_out","2026-01-01","a509f4c6f69a41be84456f3fe9182287aa2c5498","2025-12-15T10:16:14+01:00","80c130e"
"knime-database","checked_out","2026-01-01","5537ae2ecd4b3ffcf698323f02ba40ca1aa89851","2025-12-19T13:59:57Z","43942fd0"
"knime-deeplearning","checked_out","2026-01-01","18797a4e79ec72aec967413c98fcbc8268855e3c","2025-12-15T10:16:30+01:00","9f4be059"
"knime-designsystem","checked_out","2026-01-01","9ce369a8fbe2e4edfe79e08702be41d8ab3aa8af","2025-12-21T17:21:36+01:00","267f9c3"
"knime-dev","checked_out","2026-01-01","8d67997fb6f5448893fea4c6d714676cb156aeac","2025-12-15T10:16:36+01:00","8d67997f"
