rank,title,doi,status,pdf_file,notes
21,Fraud Detection in Online Content Mining Relies on the Random Forest Algorithm,https://doi.org/10.61925/swb.2023.1302,downloaded_pdf,data/original/articles/swb_2023_1302.pdf,OpenAlex PDF URL
22,A new semi-automated workflow for chemical data retrieval and quality checking for modeling applications,https://doi.org/10.1186/s13321-018-0315-6,downloaded_pdf,data/original/articles/s13321-018-0315-6.pdf,OpenAlex PDF URL
23,"Identifying disease genes using machine learning and gene functional similarities, assessed through Gene Ontology",https://doi.org/10.1371/journal.pone.0208626,downloaded_pdf,data/original/articles/journal_pone_0208626.pdf,OpenAlex PDF URL
24,BitterSweetForest: A Random Forest Based Binary Classifier to Predict Bitterness and Sweetness of Chemical Compounds,https://doi.org/10.3389/fchem.2018.00093,downloaded_pdf,data/original/articles/fchem_2018_00093.pdf,Frontiers DOI PDF pattern
25,Molecular Filters in Medicinal Chemistry,https://doi.org/10.3390/encyclopedia3020035,downloaded_pdf,data/original/articles/encyclopedia3020035_um.pdf,MDPI normal PDF blocked; OpenAlex-listed University of Maribor mirror worked
26,“MS-Ready” structures for non-targeted high-resolution mass spectrometry screening studies,https://doi.org/10.1186/s13321-018-0299-2,downloaded_pdf,data/original/articles/s13321-018-0299-2_osti.pdf,BMC track PDF returned HTML; OpenAlex-listed OSTI mirror worked
27,Enalos KNIME nodes: Exploring corrosion inhibition of steel in acidic medium,https://doi.org/10.1016/j.chemolab.2013.02.003,downloaded_pdf,data/original/articles/1-s2.0-S0169743913000233-main.pdf,User-provided PDF
28,Knowledge-Based Approach to de Novo Design Using Reaction Vectors,https://doi.org/10.1021/ci800413m,not_downloaded,,Closed access; no OpenAlex PDF URL
29,In-depth analysis of protein inference algorithms using multiple search engines and well-defined metrics,https://doi.org/10.1016/j.jprot.2016.08.002,downloaded_pdf,data/original/articles/1-s2.0-S187439191630344X-main.pdf,User-provided PDF
30,Identifying natural compounds as multi-target-directed ligands against Alzheimer’s disease: an in silico approach,https://doi.org/10.1080/07391102.2018.1456975,downloaded_pdf,data/original/articles/Identifying natural compounds as multi-target-directed ligands against Alzheimer s disease  an in silico approach.pdf,User-provided PDF
31,Recent trends of green human resource management: Text mining and network analysis,https://doi.org/10.1007/s11356-022-21471-9,downloaded_pdf,data/original/articles/s11356-022-21471-9.pdf,User-provided PDF
32,Understanding Tourists’ Experiences at Local Markets in Phuket: An Analysis of TripAdvisor Reviews,https://doi.org/10.1080/1528008x.2020.1848747,downloaded_pdf,data/original/articles/Understanding Tourists  Experiences at Local Markets in Phuket  An Analysis of TripAdvisor Reviews.pdf,User-provided PDF
33,ADME Prediction with KNIME: Development and Validation of a Publicly Available Workflow for the Prediction of Human Oral Bioavailability,https://doi.org/10.1021/acs.jcim.0c00019,not_downloaded,,Closed access; no OpenAlex PDF URL
34,Classifying the type of delivery from cardiotocographic signals: A machine learning approach,https://doi.org/10.1016/j.cmpb.2020.105712,downloaded_pdf,data/original/articles/1-s2.0-S0169260720315455-main.pdf,User-provided PDF
35,Top data mining tools for the healthcare industry,https://doi.org/10.1016/j.jksuci.2021.06.002,downloaded_pdf,data/original/articles/1-s2.0-S131915782100135X-main.pdf,User-provided PDF
36,Consensus Modeling for HTS Assays Using In silico Descriptors Calculates the Best Balanced Accuracy in Tox21 Challenge,https://doi.org/10.3389/fenvs.2016.00002,downloaded_pdf,data/original/articles/fenvs_2016_00002.pdf,OpenAlex PDF URL
37,Using Social Media in Tourist Sentiment Analysis: A Case Study of Andalusia during the Covid-19 Pandemic,https://doi.org/10.3390/su13073836,downloaded_pdf,data/original/articles/sustainability_13_03836.pdf,MDPI normal PDF blocked; mdpi-res asset URL worked
38,MHCquant: Automated and Reproducible Data Analysis for Immunopeptidomics,https://doi.org/10.1021/acs.jproteome.9b00313,not_downloaded,,Closed access; no OpenAlex PDF URL
39,Sustainable Marketing and the Role of Social Media: An Experimental Study Using Natural Language Processing (NLP),https://doi.org/10.3390/su15065443,downloaded_pdf,data/original/articles/sustainability_15_05443.pdf,MDPI normal PDF blocked; mdpi-res asset URL worked
40,"Comprehensive study of data analytics tools (RapidMiner, Weka, R tool, Knime)",https://doi.org/10.1109/cdan.2016.7570894,downloaded_pdf,data/original/articles/Comprehensive_study_of_data_analytics_tools_RapidMiner_Weka_R_tool_Knime.pdf,User-provided PDF
