rank,title,doi,status,output_path,used_url,note
41,maTE: discovering expressed interactions between microRNAs and their targets,https://doi.org/10.1093/bioinformatics/btz204,downloaded_pdf,data/original/articles/bioinformatics_35_20_4020.pdf,,User-provided PDF
42,Using Molecular Initiating Events to Develop a Structural Alert Based Screening Workflow for Nuclear Receptor Ligands Associated with Hepatic Steatosis,https://doi.org/10.1021/acs.chemrestox.5b00480,downloaded_pdf,data/original/articles/41_10.1021_acs.chemrestox.pdf,https://researchonline.ljmu.ac.uk/id/eprint/2807/3/Mellor%20et%20al%20Nuclear%20Receptors%20Workflow%20-%20Absolutely%20Everything.pdf,best_oa_location.pdf_url; HTTP 200; application/pdf; https://researchonline.ljmu.ac.uk/id/eprint/2807/3/Mellor%20et%20al%20Nuclear%20Receptors%20Workflow%20-%20Absolutely%20Everything.pdf
43,K-Means Clustering Data COVID-19,https://doi.org/10.25105/jti.v10i3.8428,downloaded_pdf,data/original/articles/Cluster_Analysis_of_Covid-19_in_Indonesia_Using_K-.pdf,,User-provided PDF
44,Free and open-source QSAR-ready workflow for automated standardization of chemical structures in support of QSAR modeling,https://doi.org/10.1186/s13321-024-00814-3,downloaded_pdf,data/original/articles/44_10.pdf,https://jcheminf.biomedcentral.com/counter/pdf/10.1186/s13321-024-00814-3,best_oa_location.pdf_url; HTTP 200; application/pdf; https://jcheminf.biomedcentral.com/counter/pdf/10.1186/s13321-024-00814-3
45,Oil-immersed Power Transformer Internal Fault Diagnosis Research Based on Probabilistic Neural Network,https://doi.org/10.1016/j.procs.2016.04.276,downloaded_pdf,data/original/articles/1-s2.0-S187705091630309X-main.pdf,,User-provided PDF
46,Machine learning for marketing on the KNIME Hub: The development of a live repository for marketing applications,https://doi.org/10.1016/j.jbusres.2021.08.036,downloaded_pdf,data/original/articles/1-s2.0-S014829632100597X-main.pdf,,User-provided PDF
47,CellProfiler and KNIME: Open Source Tools for High Content Screening,https://doi.org/10.1007/978-1-62703-311-4_8,not_downloaded,,,No candidate PDF URL in OpenAlex metadata
48,A Perspective and a New Integrated Computational Strategy for Skin Sensitization Assessment,https://doi.org/10.1021/acssuschemeng.7b04220,not_downloaded,,,No candidate PDF URL in OpenAlex metadata
49,Strategies for Big Data Clustering,https://doi.org/10.1109/ictai.2014.115,not_downloaded,,,No candidate PDF URL in OpenAlex metadata
50,Application of data mining in a cohort of Italian subjects undergoing myocardial perfusion imaging at an academic medical center,https://doi.org/10.1016/j.cmpb.2020.105343,not_downloaded,,,No candidate PDF URL in OpenAlex metadata
51,A Study of a Health Resources Management Platform Integrating Neural Networks and DSS Telemedicine for Homecare Assistance,https://doi.org/10.3390/info9070176,downloaded_pdf,data/original/articles/52_10.3390_info9070176.pdf,https://mdpi-res.com/d_attachment/information/information-09-00176/article_deploy/information-09-00176.pdf,Second-pass MDPI asset URL; valid PDF
52,Software review: the KNIME workflow environment and its applications in genetic programming and machine learning,https://doi.org/10.1007/s10710-015-9247-3,downloaded_pdf,data/original/articles/51_10.pdf,https://link.springer.com/content/pdf/10.1007/s10710-015-9247-3.pdf,best_oa_location.pdf_url; HTTP 200; application/pdf; https://link.springer.com/content/pdf/10.1007/s10710-015-9247-3.pdf
53,N-linked Glycan Micro-heterogeneity in Glycoproteins of Arabidopsis,https://doi.org/10.1074/mcp.ra117.000165,downloaded_pdf,data/original/articles/56_10.1074_mcp.ra117.000165.pdf,https://europepmc.org/articles/PMC5836367?pdf=render,Second-pass EuropePMC PDF render; valid PDF
54,Prediction of Thyroid Disease Using Data Mining Techniques,,downloaded_pdf,data/original/articles/628-2272-1-PB.pdf,,User-provided PDF
55,Investigation of the Verhaar scheme for predicting acute aquatic toxicity: Improving predictions obtained from Toxtree ver. 2.6,https://doi.org/10.1016/j.chemosphere.2015.06.009,downloaded_pdf,data/original/articles/54_10.1016_j.chemosphere.2015.06.pdf,https://researchonline.ljmu.ac.uk/id/eprint/1360/1/Ellison_et_al_Chemosphere_Accepted_version.pdf,best_oa_location.pdf_url; HTTP 200; application/pdf; https://researchonline.ljmu.ac.uk/id/eprint/1360/1/Ellison_et_al_Chemosphere_Accepted_version.pdf
56,Comparative Study of Data Mining Tools,,not_downloaded,,,No candidate PDF URL in OpenAlex metadata
57,Optimization of the spontaneous tail coiling test for fast assessment of neurotoxic effects in the zebrafish embryo using an automated workflow in KNIME®,https://doi.org/10.1016/j.ntt.2020.106918,downloaded_pdf,data/original/articles/58_10.1016_j.ntt.2020.106918.pdf,https://diposit.ub.edu/bitstreams/c84ac7aa-80b8-4d92-959e-fe69e714a8c0/download,Second-pass repository bitstream from handle landing page; valid PDF
58,Big data for smart cities with KNIME a real experience in the SmartSantander testbed,https://doi.org/10.1002/spe.2274,downloaded_pdf,data/original/articles/Softw Pract Exp - 2014 - Jara - Big data for smart cities with KNIME a real experience in the SmartSantander testbed.pdf,,User-provided PDF
59,Reliable Prediction of Caco-2 Permeability by Supervised Recursive Machine Learning Approaches,https://doi.org/10.3390/pharmaceutics14101998,downloaded_pdf,data/original/articles/59_10.3390_pharmaceutics14101998.pdf,https://mdpi-res.com/d_attachment/pharmaceutics/pharmaceutics-14-01998/article_deploy/pharmaceutics-14-01998.pdf,Second-pass MDPI asset URL; valid PDF
60,Protein Inference Using PIA Workflows and PSI Standard File Formats,https://doi.org/10.1021/acs.jproteome.8b00723,not_downloaded,,,No candidate PDF URL in OpenAlex metadata
