"openalex_id","doi","title","publication_year","publication_date","cited_by_count","source","domain","field","subfield","primary_topic","is_open_access","open_access_status","has_fulltext","has_pdf","knime_role","likely_uses_knime_workflow_platform","classification_reason"
"https://openalex.org/W1969389753","https://doi.org/10.1007/s10822-012-9577-7","Scientific workflow systems: Pipeline Pilot and KNIME","2012","2012-05-26","215","Journal of Computer-Aided Molecular Design","Physical Sciences","Computer Science","Computational Theory and Mathematics","Computational Drug Discovery Methods","True","hybrid","True","True","about_knime_or_extension","True","\bknime\b.*\b(platform|extension|node|nodes|tutorial|workflow system)\b"
"https://openalex.org/W2124955716","https://doi.org/10.1186/1471-2105-14-257","KNIME-CDK: Workflow-driven cheminformatics","2013","2013-08-22","161","BMC Bioinformatics","Physical Sciences","Computer Science","Computational Theory and Mathematics","Computational Drug Discovery Methods","True","gold","True","True","about_knime_or_extension","True","\bknime\s*[-:]"
"https://openalex.org/W2468870810","https://doi.org/10.1007/978-3-319-28549-8_7","KNIME for Open-Source Bioimage Analysis: A Tutorial","2016","2016-01-01","99","Advances in anatomy, embryology and cell biology","Life Sciences","Biochemistry, Genetics and Molecular Biology","Biophysics","Cell Image Analysis Techniques","False","closed","False","False","about_knime_or_extension","True","\bknime\b.*\b(platform|extension|node|nodes|tutorial|workflow system)\b"
"https://openalex.org/W1969293071","https://doi.org/10.1002/minf.201100076","KNIME Workflow to Assess PAINS Filters in SMARTS Format. Comparison of RDKit and Indigo Cheminformatics Libraries","2011","2011-08-04","127","Molecular Informatics","Physical Sciences","Computer Science","Computational Theory and Mathematics","Computational Drug Discovery Methods","False","closed","False","False","uses_knime_as_tool","True","\bknime workflow\b"
"https://openalex.org/W3023983310","https://doi.org/10.1021/acs.jcim.0c00019","ADME Prediction with KNIME: Development and Validation of a Publicly Available Workflow for the Prediction of Human Oral Bioavailability","2020","2020-05-07","73","Journal of Chemical Information and Modeling","Physical Sciences","Computer Science","Computational Theory and Mathematics","Computational Drug Discovery Methods","False","closed","False","False","about_knime_or_extension","True","\bknime\s*[-:]"
"https://openalex.org/W2154592269","https://doi.org/10.1093/bioinformatics/btr478","Extending KNIME for next-generation sequencing data analysis","2011","2011-08-27","42","Bioinformatics","Life Sciences","Biochemistry, Genetics and Molecular Biology","Molecular Biology","Genomics and Phylogenetic Studies","False","closed","False","False","about_knime_or_extension","True","\bkonstanz information miner\b"
"https://openalex.org/W3012542478","https://doi.org/10.3389/fcomp.2020.00008","Integration of the ImageJ Ecosystem in KNIME Analytics Platform","2020","2020-03-17","42","Frontiers in Computer Science","Life Sciences","Biochemistry, Genetics and Molecular Biology","Biophysics","Cell Image Analysis Techniques","True","gold","True","True","about_knime_or_extension","True","\bknime\b.*\b(platform|extension|node|nodes|tutorial|workflow system)\b"
"https://openalex.org/W2980497069","https://doi.org/10.1021/acs.jcim.9b00662","TeachOpenCADD-KNIME: A Teaching Platform for Computer-Aided Drug Design Using KNIME Workflows","2019","2019-10-15","31","Journal of Chemical Information and Modeling","Physical Sciences","Engineering","Biomedical Engineering","Innovative Microfluidic and Catalytic Techniques Innovation","True","hybrid","True","True","about_knime_or_extension","True","\bknime\s*[-:]"
"https://openalex.org/W2121137483","https://doi.org/10.1186/1758-2946-6-s1-p8","The integration of Open3DTOOLS into the RDKit and KNIME","2014","2014-03-01","27","Journal of Cheminformatics","Physical Sciences","Computer Science","Computational Theory and Mathematics","Computational Drug Discovery Methods","True","gold","True","True","about_knime_or_extension","True","\bknime\b.*\b(platform|extension|node|nodes|tutorial|workflow system)\b"
"https://openalex.org/W2621548818","https://doi.org/10.1002/minf.201700023","VSPrep: A General KNIME Workflow for the Preparation of Molecules for Virtual Screening","2017","2017-06-06","36","Molecular Informatics","Physical Sciences","Computer Science","Computational Theory and Mathematics","Computational Drug Discovery Methods","True","bronze","True","True","about_knime_or_extension","True","\bknime\b.*\b(platform|extension|node|nodes|tutorial|workflow system)\b"
"https://openalex.org/W2887824885","https://doi.org/10.1016/j.aca.2018.07.070","KIMBLE: A versatile visual NMR metabolomics workbench in KNIME","2018","2018-07-30","25","Analytica Chimica Acta","Life Sciences","Biochemistry, Genetics and Molecular Biology","Molecular Biology","Metabolomics and Mass Spectrometry Studies","True","hybrid","True","True","about_knime_or_extension","True","\bknime\s*[-:]"
"https://openalex.org/W1013989637","https://doi.org/10.1007/s10710-015-9247-3","Software review: the KNIME workflow environment and its applications in genetic programming and machine learning","2015","2015-07-24","48","Genetic Programming and Evolvable Machines","Social Sciences","Decision Sciences","Information Systems and Management","Scientific Computing and Data Management","True","bronze","True","True","uses_knime_as_tool","True","\bknime workflow\b"
"https://openalex.org/W2935543933","https://doi.org/10.1109/gucon.2018.8674946","Sentiment Classification for Mobile Reviews using KNIME","2018","2018-09-01","18","2018 International Conference on Computing, Power and Communication Technologies (GUCON)","Physical Sciences","Computer Science","Artificial Intelligence","Sentiment Analysis and Opinion Mining","False","closed","False","False","uses_knime_as_tool","True","\busing knime\b"
"https://openalex.org/W2078810130","https://doi.org/10.1109/mipro.2014.6859797","Big data and sentiment analysis using KNIME: Online reviews vs. social media","2014","2014-05-01","32","2014 37th International Convention on Information and Communication Technology, Electronics and Microelectronics (MIPRO)","Physical Sciences","Computer Science","Artificial Intelligence","Sentiment Analysis and Opinion Mining","False","closed","False","False","about_knime_or_extension","True","\bknime\s*[-:]"
"https://openalex.org/W3045845943","https://doi.org/10.1016/j.ntt.2020.106918","Optimization of the spontaneous tail coiling test for fast assessment of neurotoxic effects in the zebrafish embryo using an automated workflow in KNIME®","2020","2020-07-27","45","Neurotoxicology and Teratology","Physical Sciences","Environmental Science","Health, Toxicology and Mutagenesis","Environmental Toxicology and Ecotoxicology","True","green","True","True","uses_knime_as_tool","True","\bworkflow[s]?\b.{0,80}\bknime\b"
"https://openalex.org/W4401636363","https://doi.org/10.1186/s13321-024-00894-1","Democratizing cheminformatics: interpretable chemical grouping using an automated KNIME workflow","2024","2024-08-16","23","Journal of Cheminformatics","Physical Sciences","Computer Science","Computational Theory and Mathematics","Computational Drug Discovery Methods","True","gold","True","True","about_knime_or_extension","True","\bknime\b.*\b(platform|extension|node|nodes|tutorial|workflow system)\b"
