"venue","article_count","share_percent"
"Zenodo (CERN European Organization for Nuclear Research)","35","3.79"
"Journal of Cheminformatics","25","2.71"
"Molecular Informatics","10","1.08"
"SSRN Electronic Journal","10","1.08"
"Journal of Chemical Information and Modeling","9","0.98"
"Methods in molecular biology","9","0.98"
"Figshare","8","0.87"
"El Servicio de Difusión de la Creación Intelectual (National University of La Plata)","8","0.87"
"Procedia Computer Science","7","0.76"
"PubMed","7","0.76"
"BMC Bioinformatics","6","0.65"
"Bioinformatics","6","0.65"
"Toxicology Letters","6","0.65"
"Front Matter","6","0.65"
"Studies in health technology and informatics","6","0.65"
"INFM-OAR (INFN Catania)","6","0.65"
"Journal of Computer-Aided Molecular Design","5","0.54"
"KOPS (University of Konstanz)","5","0.54"
"SLAS DISCOVERY","5","0.54"
"Faculty of 1000 Research Ltd","5","0.54"
"Indonesian Journal of Cancer Chemoprevention","5","0.54"
"Journal of Proteome Research","4","0.43"
"King Abdullah University of Science and Technology Repository (King Abdullah University of Science and Technology)","4","0.43"
"Toxicology in Vitro","4","0.43"
"University of Vienna","4","0.43"
"AIP conference proceedings","4","0.43"
"Cancer Research","4","0.43"
"International Journal of Engineering & Technology","3","0.33"
"International Journal of Innovative Technology and Exploring Engineering","3","0.33"
"TENCON 2024 - 2024 IEEE Region 10 Conference (TENCON)","3","0.33"
"International Journal for Research in Applied Science and Engineering Technology","3","0.33"
"Sustainability","3","0.33"
"Journal of Biomolecular Structure and Dynamics","3","0.33"
"DOAJ (DOAJ: Directory of Open Access Journals)","3","0.33"
"ТЕНДЕНЦИИ РАЗВИТИЯ НАУКИ И ОБРАЗОВАНИЯ","3","0.33"
"Blood","3","0.33"
"ALTEX","3","0.33"
"MALCOM Indonesian Journal of Machine Learning and Computer Science","3","0.33"
"DergiPark (Istanbul University)","3","0.33"
"bioRxiv (Cold Spring Harbor Laboratory)","3","0.33"
"Proceedings of MOL2NET 2019, International Conference on Multidisciplinary Sciences, 5th edition","3","0.33"
"Proceedings of MOL2NET 2018, International Conference on Multidisciplinary Sciences, 4th edition","3","0.33"
"2014 37th International Convention on Information and Communication Technology, Electronics and Microelectronics (MIPRO)","2","0.22"
"Current Medicinal Chemistry","2","0.22"
"International Journal of Artificial Intelligence & Applications","2","0.22"
"Current Topics in Medicinal Chemistry","2","0.22"
"ADMET & DMPK","2","0.22"
"Database","2","0.22"
"Environmental Modelling & Software","2","0.22"
"International Journal of Molecular Sciences","2","0.22"
"PROTEOMICS","2","0.22"
"MethodsX","2","0.22"
"Healthcare Informatics Research","2","0.22"
"Molecules","2","0.22"
"World Journal on Educational Technology Current Issues","2","0.22"
"2021 International Conference on Data Analytics for Business and Industry (ICDABI)","2","0.22"
"Computational Toxicology","2","0.22"
"2025 17th International Conference on Knowledge and Smart Technology (KST)","2","0.22"
"Journal of Computational Chemistry","2","0.22"
"Journal of Pharmaceutical Research International","2","0.22"
"Frontiers in Neuroinformatics","2","0.22"
"F1000Research","2","0.22"
"International Journal of Advanced Computer Science and Applications","2","0.22"
"Heliyon","2","0.22"
"Health and Technology","2","0.22"
"Indonesian Journal of Electrical Engineering and Computer Science","2","0.22"
"Multimedia Tools and Applications","2","0.22"
"Frontiers in Environmental Science","2","0.22"
"HAL (Le Centre pour la Communication Scientifique Directe)","2","0.22"
"5th International Students Science Congress","2","0.22"
"PLoS ONE","2","0.22"
"Information","2","0.22"
"Computer Methods and Programs in Biomedicine","2","0.22"
"Brno University of Technology Digital Library (Brno University of Technology)","2","0.22"
"Chemosphere","2","0.22"
"Toxicology","2","0.22"
"Journal of Digital Business and Technology Innovation","2","0.22"
"ChemRxiv","2","0.22"
"Proceeding Book of 2nd International Conference on Recent Academic Studies ICRAS 2023","2","0.22"
"Proceedings of the 13th International Conference on Education Technology and Computers","2","0.22"
"2020 11th Conference of the European Study Group on Cardiovascular Oscillations (ESGCO)","2","0.22"
"Internet of Things and Artificial Intelligence Journal","2","0.22"
"IEEE Conference Proceedings","2","0.22"
"Combinatorial Chemistry & High Throughput Screening","2","0.22"
"2018 Electric Electronics, Computer Science, Biomedical Engineerings' Meeting (EBBT)","2","0.22"
"Data in Brief","2","0.22"
"Konuralp Tıp Dergisi","2","0.22"
"Frontiers in Pharmacology","2","0.22"
"Analytical Chemistry","2","0.22"
"Applied In Vitro Toxicology","2","0.22"
"European Journal of Science and Technology","2","0.22"
"Research Ideas and Outcomes","2","0.22"
"İstanbul Ticaret Üniversitesi Teknoloji ve Uygulamalı Bilimler Dergisi","2","0.22"
"RSC Medicinal Chemistry","2","0.22"
"Journal of the Brazilian Chemical Society","2","0.22"
"Journal of Molecular Graphics and Modelling","2","0.22"
"2023 International Conference on Computer Science, Information Technology and Engineering (ICCoSITE)","2","0.22"
"BRAIN BROAD RESEARCH IN ARTIFICIAL INTELLIGENCE AND NEUROSCIENCE","2","0.22"
"2015 8th International Conference on Ubi-Media Computing (UMEDIA)","2","0.22"
"LATAM Revista Latinoamericana de Ciencias Sociales y Humanidades","2","0.22"
"CyberLeninK (CyberLeninka)","2","0.22"
"ARPHA Conference Abstracts","2","0.22"
"Sovremennaya nauka i innovatsii","2","0.22"
"Ubaya Repository (University of Surabaya)","2","0.22"
"Theseus (Ammattikorkeakoulujen)","2","0.22"
"Journal of Environmental Science and Management","2","0.22"
"Mühendis ve Makina","2","0.22"
"Open MIND","2","0.22"
"Clinical Cancer Research","2","0.22"
"Hematology Transfusion and Cell Therapy","2","0.22"
"Brachytherapy","2","0.22"
"ACM SIGKDD Explorations Newsletter","1","0.11"
"CentAUR (University of Reading)","1","0.11"
"Advances in anatomy, embryology and cell biology","1","0.11"
"Chemometrics and Intelligent Laboratory Systems","1","0.11"
"Frontiers in Computer Science","1","0.11"
"2016 Symposium on Colossal Data Analysis and Networking (CDAN)","1","0.11"
"Journal of Business Research","1","0.11"
"Software Practice and Experience","1","0.11"
"Analytica Chimica Acta","1","0.11"
"Genetic Programming and Evolvable Machines","1","0.11"
"IEEE Geoscience and Remote Sensing Magazine","1","0.11"
"Proceedings of the 2011 workshop on Predictive markup language modeling","1","0.11"
"2018 International Conference on Computing, Power and Communication Technologies (GUCON)","1","0.11"
"Neurotoxicology and Teratology","1","0.11"
"International Journal of Computational Intelligence Systems","1","0.11"
"International Journal of Information and Education Technology","1","0.11"
"SoftwareX","1","0.11"
"RSC Advances","1","0.11"
"International Journal of Network Security & Its Applications","1","0.11"
"Artificial Intelligence Chemistry","1","0.11"
"2017 Third International Conference on Sensing, Signal Processing and Security (ICSSS)","1","0.11"
"International Journal of Computer Science and Engineering","1","0.11"
"Protein Science","1","0.11"
"International Journal of Applied Earth Observation and Geoinformation","1","0.11"
"Fraunhofer-Publica (Fraunhofer-Gesellschaft)","1","0.11"
"Engineering Technology & Applied Science Research","1","0.11"
"MPG.PuRe (Max Planck Society)","1","0.11"
"2012 IEEE 12th International Conference on Data Mining Workshops","1","0.11"
"Bioinformatics Advances","1","0.11"
"Cartography and Geographic Information Science","1","0.11"
"2014 IEEE World Forum on Internet of Things (WF-IoT)","1","0.11"
"2023 14th International Conference on Information, Intelligence, Systems &amp; Applications (IISA)","1","0.11"
"Chemical Biology & Drug Design","1","0.11"
"2017 IEEE International Conference on Fuzzy Systems (FUZZ-IEEE)","1","0.11"
"IOP Conference Series Materials Science and Engineering","1","0.11"
"Bioorganic & Medicinal Chemistry Letters","1","0.11"
"Proceedings of the 52nd ACM Technical Symposium on Computer Science Education","1","0.11"
"Education for Information","1","0.11"
"BMC Microbiology","1","0.11"
"2021 5th International Conference on Artificial Intelligence and Virtual Reality (AIVR)","1","0.11"
"The Journal of the Institute of Webcasting, Internet and Telecommunication","1","0.11"
"IERI Procedia","1","0.11"
"Techno Com","1","0.11"
"Journal of the Indian Chemical Society","1","0.11"
"International Journal of Advanced Research in Science Communication and Technology","1","0.11"
"Nature Methods","1","0.11"
"2019 International Conference on Wireless and Mobile Computing, Networking and Communications (WiMob)","1","0.11"
"European Journal of Mass Spectrometry","1","0.11"
"Progress in Drug Discovery & Biomedical Science","1","0.11"
"Loughborough University Institutional Repository (Loughborough University)","1","0.11"
"2017 International Conference On Smart Technologies For Smart Nation (SmartTechCon)","1","0.11"
"Ideguru Jurnal Karya Ilmiah Guru","1","0.11"
"Viruses","1","0.11"
"Europe PMC (PubMed Central)","1","0.11"
"Pharmaceuticals","1","0.11"
"GI-Jahrestagung","1","0.11"
"Systems","1","0.11"
"Journal of Pharmacy & Pharmaceutical Sciences","1","0.11"
"Wiley Interdisciplinary Reviews Computational Molecular Science","1","0.11"
"Xenobiotica","1","0.11"
"Ciencias de la información","1","0.11"
"Journal of Geographical Systems","1","0.11"
"EDPACS","1","0.11"
"Enterprise Information Systems","1","0.11"
"2023 46th MIPRO ICT and Electronics Convention (MIPRO)","1","0.11"
"PUB – Publications at Bielefeld University (Bielefeld University)","1","0.11"
"J Statistika Jurnal Ilmiah Teori dan Aplikasi Statistika","1","0.11"
"International Journal of Applied Pharmaceutics","1","0.11"
"Radio Electronics Computer Science Control","1","0.11"
"Ekalaya Jurnal Pengabdian Kepada Masyarakat Indonesia","1","0.11"
"Journal of King Saud University - Computer and Information Sciences","1","0.11"
"SAR and QSAR in environmental research","1","0.11"
"SciWaveBulletin","1","0.11"
"Health Informatics Journal","1","0.11"
"Education and Information Technologies","1","0.11"
"Journal of Quality Assurance in Hospitality & Tourism","1","0.11"
"Environmental Science and Pollution Research","1","0.11"
"Pharmaceutics","1","0.11"
"Encyclopedia","1","0.11"
"Journal of Proteomics","1","0.11"
"http://www.ecmlpkdd2013.org/wp-content/uploads/2013/07/647.pdf","1","0.11"
"2014 IEEE 26th International Conference on Tools with Artificial Intelligence","1","0.11"
"JURNAL TEKNIK INDUSTRI","1","0.11"
"Journal Of Big Data","1","0.11"
"Frontiers in Chemistry","1","0.11"
"Metabolomics","1","0.11"
"ACS Sustainable Chemistry & Engineering","1","0.11"
"Proceedings of the International C* Conference on Computer Science and Software Engineering","1","0.11"
"Journal of Student Science and Technology","1","0.11"
"Biopolymers and Cell","1","0.11"
"World of transport and technological machines","1","0.11"
"International journal of advance research, ideas and innovations in technology","1","0.11"
"2024 IEEE 21st India Council International Conference (INDICON)","1","0.11"
"Platelets","1","0.11"
"Chemical Research in Toxicology","1","0.11"
"International Journal of Engineering Research and","1","0.11"
"Tourism and Hospitality Research","1","0.11"
"2018 AEIT International Annual Conference","1","0.11"
"RePEc: Research Papers in Economics","1","0.11"
"한국인터넷방송통신학회 논문지","1","0.11"
"Future Medicinal Chemistry","1","0.11"
"South African Journal of Higher Education","1","0.11"
"International Journal of Industrial Engineering","1","0.11"
"OSF Preprints (OSF Preprints)","1","0.11"
"Weixingji yu Yingyong","1","0.11"
"Gunadarma University Repository (Gunadarma University)","1","0.11"
"Recent Patents on Computer Science","1","0.11"
"Journal of Information Systems Education","1","0.11"
"Doklady of the National Academy of Sciences of Belarus","1","0.11"
"ISU Red - Research and eData (Illinois State University)","1","0.11"
"Bioengineering","1","0.11"
"Journal of Advanced Database Management & Systems","1","0.11"
"2024 8th International Conference on Information Technology (InCIT)","1","0.11"
"Scientific Data","1","0.11"
"Scientific Reports","1","0.11"
"International Journal of Online and Biomedical Engineering (iJOE)","1","0.11"
"AMIA","1","0.11"
"CHIMIA International Journal for Chemistry","1","0.11"
"Diagnostics","1","0.11"
"PADMA","1","0.11"
"médecine/sciences","1","0.11"
"Cellular Microbiology","1","0.11"
"ChemMedChem","1","0.11"
"2018 6th International Symposium on Digital Forensic and Security (ISDFS)","1","0.11"
"Human Reproduction","1","0.11"
"Discourse","1","0.11"
"COMPUTER-INTEGRATED TECHNOLOGIES EDUCATION SCIENCE PRODUCTION","1","0.11"
"Computer Science and Information Technology","1","0.11"
"Applied Computing and Geosciences","1","0.11"
"Discover Internet of Things","1","0.11"
"Sensors","1","0.11"
"TENCON 2025 - 2025 IEEE Region 10 Conference (TENCON)","1","0.11"
"Microbial Risk Analysis","1","0.11"
"2019 Second International Conference on Advanced Computational and Communication Paradigms (ICACCP)","1","0.11"
"Asia-Pacific social science review","1","0.11"
"2017 IEEE World Engineering Education Conference (EDUNINE)","1","0.11"
"Expert Systems with Applications","1","0.11"
"Journal of Enzyme Inhibition and Medicinal Chemistry","1","0.11"
"Annals of GIS","1","0.11"
"OpenAgrar","1","0.11"
"Regulatory Toxicology and Pharmacology","1","0.11"
"2017 IEEE 31st International Conference on Advanced Information Networking and Applications (AINA)","1","0.11"
"The Electronic Library","1","0.11"
"The Journal of Academic Librarianship","1","0.11"
"MedChemComm","1","0.11"
"Journal of Sensors","1","0.11"
"Water","1","0.11"
"Environmental Toxicology and Chemistry","1","0.11"
"International Journal of Power Electronics and Drive Systems (IJPEDS)","1","0.11"
"2020 IEEE 20th International Conference on Bioinformatics and Bioengineering (BIBE)","1","0.11"
"Proceedings of the 1st International Conference on Sustainable Management and Innovation, ICoSMI 2020, 14-16 September 2020, Bogor, West Java, Indonesia","1","0.11"
"Chinese Journal of Chemistry","1","0.11"
"Molecular Pharmaceutics","1","0.11"
"2019 ACM/IEEE 22nd International Conference on Model Driven Engineering Languages and Systems (MODELS)","1","0.11"
"International Journal of Open Source Software and Processes","1","0.11"
"Energies","1","0.11"
"Journal of Biological Chemistry","1","0.11"
"Microscopy and Microanalysis","1","0.11"
"International Journal of Interactive Mobile Technologies (iJIM)","1","0.11"
"2022 Fifth International Conference on Computational Intelligence and Communication Technologies (CCICT)","1","0.11"
"Foundations of Computing and Decision Sciences","1","0.11"
"Abant Sosyal Bilimler Dergisi","1","0.11"
"Frontiers in Earth Science","1","0.11"
"Computer Applications in Engineering Education","1","0.11"
"Pancreatology","1","0.11"
"Aslib Journal of Information Management","1","0.11"
"Infection Genetics and Evolution","1","0.11"
"IEEE Transactions on Neural Systems and Rehabilitation Engineering","1","0.11"
"IEEE Access","1","0.11"
"Journal of Telecommunication Electronic and Computer Engineering (JTEC)","1","0.11"
"Neurospine","1","0.11"
"European Conference on Research Methodology for Business and Management Studies","1","0.11"
"Jurnal Ekonomi dan Pembangunan","1","0.11"
"2015 2nd International Conference on Information and Communication Technologies for Disaster Management (ICT-DM)","1","0.11"
"Transportation Research Interdisciplinary Perspectives","1","0.11"
"Gastro Hep Advances","1","0.11"
"2023 10th International Conference on Wireless Networks and Mobile Communications (WINCOM)","1","0.11"
"Agronomy","1","0.11"
"Civil Engineering Journal","1","0.11"
"Babylonian Journal of Artificial Intelligence","1","0.11"
"2012 IEEE/ACIS 11th International Conference on Computer and Information Science","1","0.11"
"Applied Sciences","1","0.11"
"Datenbank-Spektrum","1","0.11"
"Computers","1","0.11"
"Asian Spine Journal","1","0.11"
"INRIA a CCSD electronic archive server","1","0.11"
"Electronics","1","0.11"
"Computational Urban Science","1","0.11"
"MODSIM","1","0.11"
"Knowledge","1","0.11"
"Proceedings of International Exchange and Innovation Conference on Engineering & Sciences (IEICES)","1","0.11"
"2021 11th International Conference on Biomedical Engineering and Technology","1","0.11"
"Journal of Computer and Education Research","1","0.11"
"Süleyman Demirel Üniversitesi Fen Bilimleri Enstitüsü Dergisi","1","0.11"
"American Journal of Pharmaceutical Education","1","0.11"
"Hogräfer, M & Schulz, H-J 2019, ReVize: A Library for Visualization Toolchaining with Vega-Lite. in Italian Chapter Conference 2019 - Smart Tools and Apps in computer Graphics, STAG 2019. Eurographics Association, pp. 129-139, International Conference on Smart Tools and Applications in Graphics, Cagliari, Italy, 14/11/2019. https://doi.org/10.2312/stag.20191375","1","0.11"
"ACS Medicinal Chemistry Letters","1","0.11"
"2020 International Conference on Emerging Trends in Information Technology and Engineering (ic-ETITE)","1","0.11"
"BMC Veterinary Research","1","0.11"
"Uluslararası Yönetim Bilişim Sistemleri ve Bilgisayar Bilimleri Dergisi","1","0.11"
"PLOS Digital Health","1","0.11"
"Frontiers in Microbiology","1","0.11"
"Computación y Sistemas","1","0.11"
"Experimental Thermal and Fluid Science","1","0.11"
"Management of the personnel and intellectual resources in Russia","1","0.11"
"Journal of Service Research","1","0.11"
"Applied Artificial Intelligence","1","0.11"
"JMIR Public Health and Surveillance","1","0.11"
"2023 IEEE Conference on Computer Applications (ICCA)","1","0.11"
"Journal of Experimental & Theoretical Artificial Intelligence","1","0.11"
"2019 Scientific Meeting on Electrical-Electronics &amp; Biomedical Engineering and Computer Science (EBBT)","1","0.11"
"2024 IEEE 25th International Conference of Young Professionals in Electron Devices and Materials (EDM)","1","0.11"
"2023 IEEE XVI International Scientific and Technical Conference Actual Problems of Electronic Instrument Engineering (APEIE)","1","0.11"
